#density, energy density and pressure in cgs units for eos=ALF2.

#density, energy density and pressure in cgs units for eos=ALF2.
#i rho edens pres
2.660000000000000000e+02 1.052736755726236728e-08 1.748457109375790134e+07 1.820791680099462337e+24
2.670000000000000000e+02 1.077529855144052569e-08 1.789640042287037149e+07 1.889192776207672149e+24
2.680000000000000000e+02 1.102906859109127412e-08 1.831793060782078281e+07 1.960163474319181749e+24
2.690000000000000000e+02 1.128881519210758690e-08 1.874939018293680996e+07 2.033800305846984234e+24
2.700000000000000000e+02 1.155467910903155516e-08 1.919101306735512614e+07 2.110203428568587854e+24
2.710000000000000000e+02 1.182680441132856388e-08 1.964303869193706661e+07 2.189476762856620709e+24
2.720000000000000000e+02 1.210533856145695715e-08 2.010571212917552143e+07 2.271728133026912049e+24
2.730000000000000000e+02 1.239043249477688316e-08 2.057928422616600618e+07 2.357069413996722972e+24
2.740000000000000000e+02 1.268224070134112907e-08 2.106401174071328342e+07 2.445616683452448962e+24
2.750000000000000000e+02 1.298092130961155446e-08 2.156015748064646870e+07 2.537490379733561239e+24
2.760000000000000000e+02 1.328663617214812233e-08 2.206799044642094895e+07 2.632815465648020087e+24
2.770000000000000000e+02 1.359955095331500668e-08 2.258778597708147392e+07 2.731721598441384441e+24
2.780000000000000000e+02 1.391983521905294105e-08 2.311982589966850728e+07 2.834343306151303586e+24
2.790000000000000000e+02 1.424766252876581085e-08 2.366439868214795366e+07 2.940820170587066503e+24
2.800000000000000000e+02 1.458321052937058609e-08 2.422179958994626626e+07 3.051297017182858215e+24
2.810000000000000000e+02 1.498018726405320314e-08 2.488124730255934969e+07 3.165924111983520682e+24
2.820000000000000000e+02 1.541553172076569610e-08 2.560443419722015783e+07 3.284857366030053798e+24
2.830000000000000000e+02 1.586352787486007440e-08 2.634864179610152543e+07 3.408258547423444703e+24
2.840000000000000000e+02 1.632454340173513273e-08 2.711448113638949394e+07 3.536295501355046178e+24
2.850000000000000000e+02 1.679895666193248465e-08 2.790258101836272702e+07 3.669142378402478941e+24
2.860000000000000000e+02 1.728715701166209021e-08 2.871358852182102948e+07 3.806979871402284059e+24
